{'y': '1', 'x': 1701940311.8859134}
{'y': '2', 'x': 1701940313.5919957}
{'y': '3', 'x': 1701940316.1555023}
{'y': '3', 'x': 1701940744.8762903}
{'y': '1', 'x': 1701967600.0173686}
{'y': '2', 'x': 1701967604.302022}
{'y': '2', 'x': 1701967641.2758422}
{'y': '1', 'x': 1701967647.2050211}
{'y': '1', 'x': 1701967709.991008}
{'y': '1', 'x': 1701967776.4480822}
{'y': '1', 'x': 1701967820.6452928}
{'y': '1', 'x': 1701967853.807026}
{'y': '1', 'x': 1701967877.2261376}
{'y': '1', 'x': 1701967931.0259063}
{'y': '123123', 'x': 1702304850.4390078}
{'y': '1', 'x': 1702370772.6055133}
{'y': '2', 'x': 1702370775.3851027}
{'y': '3', 'x': 1702370777.5400963}
{'y': '3', 'x': 1702371034.9421844}
{'y': '3', 'x': 1702371051.6042025}
{'y': '3', 'x': 1702371110.7113097}
{'y': '3', 'x': 1702371135.6299293}
{'y': '123', 'x': 1702547298.7612789}
{'y': '123', 'x': 1702547317.8395827}
{'y': '123', 'x': 1702547341.425338}
{'y': '123', 'x': 1702904755.371283}
{'y': '123', 'x': 1702907354.5459466}
{'y': '12', 'x': 1702907716.886498}
